date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:52	32/32	---M--	200	added ('OK')	text/plain	etag:%2220-599130989afc0%22	https://journal.itera.ac.id/robots.txt		(from )
10:31:52	31435/31435	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:53%20GMT	https://journal.itera.ac.id/index.php/jsat/	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/index.html	(from )
10:31:52	585185/585185	---M--	200	added ('OK')	image/png	etag:%228ede1-636061621ce59%22	https://journal.itera.ac.id/public/journals/1/favicon_en_US.png	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/public/journals/1/favicon_en_US.png	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:52	63509/63509	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2006:54:14%20GMT	https://journal.itera.ac.id/index.php/jsat/$$$call$$$/page/page/css?name=stylesheet	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/$$$call$$$/page/page/css4a93.css	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:53	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css?v=3.1.2.4	C:/xampp/htdocs/jsat_static/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome241e.css	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:53	579/579	---M-Z	200	added ('OK')	text/css	etag:%22243-599130d880680-gzip%22	https://journal.itera.ac.id/plugins/generic/orcidProfile/css/orcidProfile.css?v=3.1.2.4	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/plugins/generic/orcidProfile/css/orcidProfile241e.css	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:53	1049/1049	---M-Z	200	added ('OK')	text/css	etag:%22419-63606161ee053-gzip%22	https://journal.itera.ac.id/public/site/sitestyle.css?v=3.1.2.4	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/public/site/sitestyle241e.css	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:53	775/775	---M-Z	200	added ('OK')	text/css	etag:%22307-63606161fe9f5-gzip%22	https://journal.itera.ac.id/public/journals/1/styleSheet.css?v=3.1.2.4	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/public/journals/1/styleSheet241e.css	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:54	31435/31435	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:55%20GMT	https://journal.itera.ac.id/index.php/jsat/index	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/index-2.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:54	75376/75376	---M--	200	added ('OK')	image/png	etag:%2212670-6360616223bba%22	https://journal.itera.ac.id/public/journals/1/pageHeaderLogoImage_en_US.png	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/public/journals/1/pageHeaderLogoImage_en_US.png	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:54	27604/27604	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:55%20GMT	https://journal.itera.ac.id/index.php/jsat/issue/current	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/issue/current.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:54	51477/51477	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:56%20GMT	https://journal.itera.ac.id/index.php/jsat/issue/archive	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/issue/archive.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:55	38607/38607	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:56%20GMT	https://journal.itera.ac.id/index.php/jsat/announcement	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/announcement.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:55	29498/29498	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:56%20GMT	https://journal.itera.ac.id/index.php/jsat/about	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/about.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:55	44514/44514	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:56%20GMT	https://journal.itera.ac.id/index.php/jsat/about/submissions	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/about/submissions.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:55	60986/60986	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:56%20GMT	https://journal.itera.ac.id/index.php/jsat/about/editorialTeam	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/about/editorialTeam.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:55	27553/27553	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:57%20GMT	https://journal.itera.ac.id/index.php/jsat/about/privacy	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/about/privacy.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:56	28916/28916	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:57%20GMT	https://journal.itera.ac.id/index.php/jsat/about/contact	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/about/contact.html	(from https://journal.itera.ac.id/index.php/jsat/)
10:31:56	32161/32161	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2003:31:57%20GMT	https://journal.itera.ac.id/index.php/jsat/search/search	C:/xampp/htdocs/jsat_static/journal.itera.ac.id/index.php/jsat/search/search.html	(from https://journal.itera.ac.id/index.php/jsat/)
